Kontynent;Pañstwo;Miejsce;Moc [MWe];Grupa reaktorów;Typ;Model;Przeznaczenie;Data uruchomienia;Data wy³¹czenia;Data planowanego uruchomienia;Data planowanego wy³¹czenia;Uwagi,"
Europa;Ukraina;Zaporizhia-4;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;14.kwi.88;;;;","
Europa;Ukraina;Zaporizhia-5;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;27.paŸ.89;;;;","
Europa;Ukraina;Zaporizhia-6;1000;Lekkowodny;PWR;VVER V-320;Energetyczny;17.wrz.96;;;;","
Europa;Ukraina;Institute for Nuclear Research, Kyiv;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Ukraina;Institute of Nuclear Energy and Industry, Sevastopol;;;;;Badawczy;;;;;Reaktor wy³¹czony","
Europa;Wêgry;Paks-1;500;Lekkowodny;PWR;VVER V-213;Energetyczny;10.sie.83;;;2032;","
Europa;Wêgry;Paks-2;500;Lekkowodny;PWR;VVER V-213;Energetyczny;14.lis.84;;;2034;","
Europa;Wêgry;Paks-3;500;Lekkowodny;PWR;VVER V-213;Energetyczny;01.gru.86;;;2036;","
Europa;Wêgry;Paks-4;500;Lekkowodny;PWR;VVER V-213;Energetyczny;01.lis.87;;;2037;","
Europa;Wêgry;Technical University of Budapest;0,1 MWt;;;;Badawczy;;;;;","
Europa;Wêgry;KFKI Atomic Energy Research Institute;10 MWt;Lekkowodny;PWR;VVR-SM;Badawczy;;;;;","
Europa;Wielka Brytania;Berkeley-1;166;Grafitowo-gazowy;GCR;Magnox;Energetyczny;12.cze.62;31.mar.89;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Berkeley-2;166;Grafitowo-gazowy;GCR;Magnox;Energetyczny;20.paŸ.62;26.paŸ.88;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Bradwell-1;146;Grafitowo-gazowy;GCR;Magnox;Energetyczny;01.lip.62;31.mar.02;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Bradwell-2;146;Grafitowo-gazowy;GCR;Magnox;Energetyczny;12.lis.62;30.mar.02;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Calder Hall-1;60;Grafitowo-gazowy;GCR;Magnox;Produkcja plutonu/Energetyczny;01.paŸ.56;31.mar.03;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Calder Hall-2;60;Grafitowo-gazowy;GCR;Magnox;Produkcja plutonu/Energetyczny;01.lut.57;31.mar.03;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Calder Hall-3;60;Grafitowo-gazowy;GCR;Magnox;Produkcja plutonu/Energetyczny;01.maj.58;31.mar.03;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Calder Hall-4;60;Grafitowo-gazowy;GCR;Magnox;Produkcja plutonu/Energetyczny;01.kwi.59;31.mar.03;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Chapelcross-1;60;Grafitowo-gazowy;GCR;Magnox;Produkcja plutonu/Energetyczny;01.mar.59;29.cze.04;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Chapelcross-2;60;Grafitowo-gazowy;GCR;Magnox;Produkcja plutonu/Energetyczny;01.sie.59;29.cze.04;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Chapelcross-3;60;Grafitowo-gazowy;GCR;Magnox;Produkcja plutonu/Energetyczny;01.gru.59;29.cze.04;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Chapelcross-4;60;Grafitowo-gazowy;GCR;Magnox;Produkcja plutonu/Energetyczny;01.mar.60;29.cze.04;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Dounreay DFR;15;Prêdki;SFR;DFR;Badawczy/Energetyczny;01.paŸ.62;01.mar.77;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Dounreay PFR;230;Prêdki;SFR;PFR;Badawczy/Energetyczny;01.lip.76;31.mar.94;;;Reaktor wy³¹czony, w trakcie demonta¿u","
Europa;Wielka Brytania;Dungeness A-1;230;Grafitowo-gazowy;GCR;Magnox;Energetyczny;28.paŸ.65;31.gru.06;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Dungeness A-2;230;Grafitowo-gazowy;GCR;Magnox;Energetyczny;30.gru.65;31.gru.06;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Dungeness B-1;615;Grafitowo-gazowy;GCR;AGR;Energetyczny;01.kwi.85;;;2028;","
Europa;Wielka Brytania;Dungeness B-2;615;Grafitowo-gazowy;GCR;AGR;Energetyczny;01.kwi.89;;;2028;","
Europa;Wielka Brytania;Hartlepool-1;655;Grafitowo-gazowy;GCR;AGR;Energetyczny;01.kwi.89;;;2024;","
Europa;Wielka Brytania;Hartlepool-2;655;Grafitowo-gazowy;GCR;AGR;Energetyczny;01.kwi.89;;;2024;","
Europa;Wielka Brytania;Heysham A-1;625;Grafitowo-gazowy;GCR;AGR;Energetyczny;01.kwi.89;;;2024;","
Europa;Wielka Brytania;Heysham A-2;625;Grafitowo-gazowy;GCR;AGR;Energetyczny;01.kwi.89;;;2024;","
Europa;Wielka Brytania;Heysham B-1;680;Grafitowo-gazowy;GCR;AGR;Energetyczny;01.kwi.89;;;2030;","
Europa;Wielka Brytania;Heysham B-2;680;Grafitowo-gazowy;GCR;AGR;Energetyczny;01.kwi.89;;;2030;","
Europa;Wielka Brytania;Hinkley Point A-1;267;Grafitowo-gazowy;GCR;Magnox;Energetyczny;30.mar.65;23.maj.00;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Hinkley Point A-2;267;Grafitowo-gazowy;GCR;Magnox;Energetyczny;05.maj.65;23.maj.00;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Hinkley Point B-1;655;Grafitowo-gazowy;GCR;AGR;Energetyczny;02.paŸ.78;;;2023;","
Europa;Wielka Brytania;Hinkley Point B-2;655;Grafitowo-gazowy;GCR;AGR;Energetyczny;27.wrz.76;;;2023;","
Europa;Wielka Brytania;Hinkley Point C-1;1720;Lekkowodny;PWR;EPR;Energetyczny;;;2025;;W budowie","
Europa;Wielka Brytania;Hunterston A-1;173;Grafitowo-gazowy;GCR;Magnox;Energetyczny;05.lut.64;30.mar.90;;;Reaktor wy³¹czony, w trakcie demonta¿u","
Europa;Wielka Brytania;Hunterston A-2;173;Grafitowo-gazowy;GCR;Magnox;Energetyczny;01.lip.64;31.gru.89;;;Reaktor wy³¹czony, w trakcie demonta¿u","
Europa;Wielka Brytania;Hunterston B-1;644;Grafitowo-gazowy;GCR;AGR;Energetyczny;06.lut.76;;;2023;","
Europa;Wielka Brytania;Hunterston B-2;644;Grafitowo-gazowy;GCR;AGR;Energetyczny;31.mar.77;;;2023;","
Europa;Wielka Brytania;Oldbury-1;230;Grafitowo-gazowy;GCR;Magnox;Energetyczny;31.gru.67;29.lut.12;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Oldbury-2;230;Grafitowo-gazowy;GCR;Magnox;Energetyczny;30.wrz.68;30.cze.11;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Sizewell A-1;245;Grafitowo-gazowy;GCR;Magnox;Energetyczny;25.mar.66;31.gru.06;;;Reaktor wy³¹czony, w trakcie demonta¿u","
Europa;Wielka Brytania;Sizewell A-2;245;Grafitowo-gazowy;GCR;Magnox;Energetyczny;15.wrz.66;31.gru.06;;;Reaktor wy³¹czony, w trakcie demonta¿u","
Europa;Wielka Brytania;Sizewell B;1250;Lekkowodny;PWR;SNUPPS;Energetyczny;22.wrz.95;;;2035;","
Europa;Wielka Brytania;Torness-1;682;Grafitowo-gazowy;GCR;AGR;Energetyczny;25.maj.88;;;2023;","
Europa;Wielka Brytania;Torness-2;682;Grafitowo-gazowy;GCR;AGR;Energetyczny;03.lut.89;;;2023;","
Europa;Wielka Brytania;Trawsfynydd-1;235;Grafitowo-gazowy;GCR;Magnox;Energetyczny;24.mar.65;06.lut.91;;;Reaktor wy³¹czony, w trakcie demonta¿u","
Europa;Wielka Brytania;Trawsfynydd-2;235;Grafitowo-gazowy;GCR;Magnox;Energetyczny;24.mar.65;04.lut.91;;;Reaktor wy³¹czony, w trakcie demonta¿u","
Europa;Wielka Brytania;Windscale;36;Grafitowo-gazowy;GCR;AGR;Energetyczny;01.mar.63;03.kwi.81;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Winfrith;100;Ciê¿kowodny;SGHWR;SGHWR;Energetyczny;01.sty.68;11.wrz.90;;;Reaktor wy³¹czony, w trakcie demonta¿u","
Europa;Wielka Brytania;Wylfa-1;530;Grafitowo-gazowy;GCR;Magnox;Energetyczny;01.lis.71;30.gru.15;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Wylfa-2;540;Grafitowo-gazowy;GCR;Magnox;Energetyczny;03.sty.72;25.kwi.12;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Atomic Weapons Establishment, Aldermaston;;;;VIPER;Produkcja plutonu/Badawczy;;;;;","
Europa;Wielka Brytania;Imperial College London, Ascot;;;;CONSORT;Badawczy;;;;;","
Europa;Wielka Brytania;ICI Physics and Radioisotopes Dept of ICI R&D, Billingham;;;TRIGA;TRIGA Mark I;Badawczy;1971;1988;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Culham Centre for Fusion Energy;;;Fuzyjny;JET;Badawczy;;;;;","
Europa;Wielka Brytania;Rolls-Royce Marine Power Operations Ltd, Raynesway;;;;Neptune;Badawczy;;;;;","
Europa;Wielka Brytania;Dounreay;;;;The Shore Test Facility (STF);Badawczy;;;;;","
Europa;Wielka Brytania;Dounreay;;;;DSMP1;Badawczy;;1984;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Dounreay;;;;DMTR;Badawczy;;;;;","
Europa;Wielka Brytania;Dounreay;;Prêdki;FBR;Dounreay Fast Reactor;Badawczy;;1994;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Dounreay;;Prêdki;FBR;Prototype Fast Reactor;Badawczy;;;;;","
Europa;Wielka Brytania;Scottish Universities Research and Reactor Centre, East Kilbride;0,1 MWt;;Argonaut;;Badawczy;;1995;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Atomic Energy Research Establishment, Didcot, Oxfordshire;;;;GLEEP;Badawczy;15.sie.47;1990;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Atomic Energy Research Establishment, Didcot, Oxfordshire;;;;BEPO;Badawczy;;1968;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Atomic Energy Research Establishment, Didcot, Oxfordshire;;;;LIDO;Badawczy;;1974;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Atomic Energy Research Establishment, Didcot, Oxfordshire;;Ciê¿kowodny;;DIDO;Badawczy;;1990;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Atomic Energy Research Establishment, Didcot, Oxfordshire;;Ciê¿kowodny;;PLUTO;Badawczy;27.paŸ.57;1990;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Royal Naval College, Greenwich;0,00001 MWt;;Argonaut;JASON;Badawczy;;1999;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Queen Mary College, London;;;;;Badawczy;1966;1982;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Risley, Warrington;;;Argonaut;Universities Research Reactor;Badawczy;;1991;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Sellafield;;;;PILE 1;Badawczy;;1957;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Sellafield;;;;PILE 2;Badawczy;;1957;;;Reaktor wy³¹czony i zdemontowany","
Europa;Wielka Brytania;Winfrith Atomic Energy Establishment;0;;;ZENITH;Badawczy;1959;;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Winfrith Atomic Energy Establishment;0;;;NESTOR;Badawczy;1961;;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Winfrith Atomic Energy Establishment;0;Ciê¿kowodny;;DIMPLE;Badawczy;1962;;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Winfrith Atomic Energy Establishment;0;;;ZEBRA;Badawczy;1962;;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Winfrith Atomic Energy Establishment;0;;;HECTOR;Badawczy;1963;;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Winfrith Atomic Energy Establishment;0;;;JUNO;Badawczy;1964;;;;Reaktor wy³¹czony","
Europa;Wielka Brytania;Winfrith Atomic Energy Establishment;20 MWt;Grafitowo-gazowy;HTGR;Dragon reactor;Badawczy;1964;1976;;;Reaktor wy³¹czony","
Europa;W³ochy;Caorso;882;Lekkowodny;BWR;BWR-4 Mark2;Energetyczny;01.gru.81;01.lip.90;;;Reaktor wy³¹czony","
Europa;W³ochy;;270;Lekkowodny;PWR;WE 4-loops;Energetyczny;01.sty.65;01.lip.90;;;Reaktor wy³¹czony","
Europa;W³ochy;Garigliano;160;Lekkowodny;BWR;BWR-1;Energetyczny;01.cze.64;01.mar.82;;;Reaktor wy³¹czony","
Europa;W³ochy;Latina;160;Grafitowo-gazowy;GCR;Magnox;Energetyczny;01.sty.64;01.gru.87;;;Reaktor wy³¹czony","
Europa;W³ochy;Alto Lazio-1;1009;Lekkowodny;BWR;;Energetyczny;;;;;Budowa przerwana 1 Stycznia 1988 roku","
Europa;W³ochy;Alto Lazio-2;1009;Lekkowodny;BWR;;Energetyczny;;;;;Budowa przerwana 1 lipca 1988 roku","
Europa;W³ochy;National Atomic Energy Agency - Brasimone Research Center, Bologna;;;;PEC (Prove Esperimenti Combustibile - Fuel Test Experiments);Badawczy;1972;1987;;;Reaktor wy³¹czony","
Europa;W³ochy;European Commission Joint Research Centre, Ispra;5 MWt;;;ISPRA-1;Badawczy;1959;1973;;;Reaktor wy³¹czony","
Europa;W³ochy;European Commission Joint Research Centre, Ispra;0,001 MWt;;;ECO (Essai Critique ORGEL);Badawczy;1966;1983;;;Reaktor wy³¹czony","
Europa;W³ochy;European Commission Joint Research Centre, Ispra;25 MWt;;;ESSOR (ESSai ORrganique eau lourde);Badawczy;1967;1983;;;Reaktor wy³¹czony","
Europa;W³ochy;National Institute for Nuclear Physic, Legnaro;;;;RTS-1;Badawczy;1963;1980;;;Reaktor wy³¹czony","
Europa;W³ochy;Politecnico di Milano, Milano;0,05 MWt;;;L-54;Badawczy;1957;1979;;;Reaktor wy³¹czony","
Europa;W³ochy;University of Bologna, Bologna;0;;;RB-1;Badawczy;1962;1985;;;Reaktor wy³¹czony","
Europa;W³ochy;University of Bologna, Bologna;0,001 MWt;;;RB-2;Badawczy;1964;1985;;;Reaktor wy³¹czony","
Europa;W³ochy;University of Bologna, Bologna;0,001 MWt;;;RB-3 - Aquilone 11;Badawczy;1971;1989;;;Reaktor wy³¹czony","
Europa;W³ochy;University of Pavia, Pavia;0,25 MWt;;TRIGA Mark II;TRIGA LENA;Badawczy;1965;;;;","
Europa;W³ochy;University of Palermo, Palermo;0;;;\""AGN-201 \""\""Costanza\""\""\"";Badawczy;1960;;;;","
Europa;W³ochy;FIAT/Montecatini, Saluggia;;;Zbiornikowy;AVOGADRO RS-1;Badawczy;1959;1971;;;Reaktor wy³¹czony","
Europa;W³ochy;Center for Military Applications of Nuclear Energy, San Piero a Grado;5 MWt;;Zbiornikowy;\""RTS-1 \""\""Galileo Galilei\""\""\"";Badawczy;1963;1980;;;Reaktor wy³¹czony","
Europa;W³ochy;Casaccia Research Center, Santa Maria di Galeria;0,002 MWt;;;ROSPO-2;Badawczy;1960;1975;;;Reaktor wy³¹czony","
Europa;W³ochy;Casaccia Research Center, Santa Maria di Galeria;1 MWt;;TRIGA Mark II;TRIGA RC-1;Badawczy;1960;;;;","
Europa;W³ochy;Casaccia Research Center, Santa Maria di Galeria;0,00001 MWt;;;RC-4 RITMO;Badawczy;1965;1978;;;Reaktor wy³¹czony","
Europa;W³ochy;Casaccia Research Center, Santa Maria di Galeria;0,01 MWt;;;RANA;Badawczy;1965;1981;;;Reaktor wy³¹czony","
Europa;W³ochy;Casaccia Research Center, Santa Maria di Galeria;0,005 MWt;;Argonne Fast Source Reactor;TAPIRO;Badawczy;1971;;;;"
